,회사명,상장번호
0,3S,060310
1,APS홀딩스,054620
2,AP시스템,265520
3,AP위성,211270
4,BNGT,032790
5,CBI,013720
6,CJ ENM,035760
7,CJ 바이오사이언스,311690
8,CJ프레시웨이,051500
9,CMG제약,058820
10,CNH,023460
11,CNT85,056730
12,COWON,056000
13,CS,065770
14,CSA 코스믹,083660
15,DB금융스팩10호,404950
16,DB금융스팩8호,367340
17,DB금융스팩9호,367360
18,DMS,068790
19,DSC인베스트먼트,241520
20,EDGC,245620
21,EG,037370
22,EMW,079190
23,ES큐브,050120
24,FSN,214270
25,GH신소재,130500
26,GRT,900290
27,GST,083450
28,HB솔루션,297890
29,HB테크놀러지,078150
30,HK이노엔,195940
31,HLB,028300
32,HLB생명과학,067630
33,HLB제약,047920
34,HLB테라퓨틱스,115450
35,HRS,036640
36,IBKS제12호스팩,335870
37,IBKS제13호스팩,351340
38,IBKS제16호스팩,388790
39,IBKS제17호스팩,405350
40,ISC,095340
41,ITX-AI,099520
42,JTC,950170
43,JW신약,067290
44,JYP Ent.,035900
45,KBI메탈,024840
46,KB오토시스,024120
47,KCC건설,021320
48,KCI,036670
49,KD,044180
50,KG ETS,151860
51,KG모빌리언스,046440
52,KG이니시스,035600
53,KH E&T,226360
54,KH 일렉트론,111870
55,KH바텍,060720
56,KMH,122450
57,KMH하이텍,052900
58,KNN,058400
59,KPX생명과학,114450
60,KT서브마린,060370
61,LX세미콘,108320
62,NEW,160550
63,NE능률,053290
64,NHN벅스,104200
65,NHN한국사이버결제,060250
66,NICE평가정보,030190
67,PN풍년,024940
68,RFHIC,218410
69,RF머트리얼즈,327260
70,S&K폴리텍,091340
71,SBI인베스트먼트,019550
72,SBI핀테크솔루션즈,950110
73,SBS콘텐츠허브,046140
74,SCI평가정보,036120
75,SDN,099220
76,SFA반도체,036540
77,SG,255220
78,SG&G,040610
79,SGA,049470
80,SGA솔루션즈,184230
81,SGC이테크건설,016250
82,SK5호스팩,337450
83,SK6호스팩,340350
84,SM C&C,048550
85,SM Life Design,063440
86,SNK,950180
87,SV인베스트먼트,289080
88,THE E&M,089230
89,THE MIDONG,161570
90,THQ,192410
91,TJ미디어,032540
92,TPC,048770
93,TS인베스트먼트,246690
94,TS트릴리온,317240
95,UCI,038340
96,WI,073570
97,YBM넷,057030
98,YTN,040300
99,YW,051390
100,iMBC,052220
101,가비아,079940
102,가온미디어,078890
103,감성코퍼레이션,036620
104,강스템바이오텍,217730
105,강원에너지,114190
106,갤럭시아머니트리,094480
107,경남스틸,039240
108,경남제약,053950
109,경동제약,011040
110,경창산업,024910
111,고려시멘트,198440
112,고려신용정보,049720
113,고려제약,014570
114,고바이오랩,348150
115,고영,098460
116,골드앤에스,035290
117,골드퍼시픽,038530
118,골든센츄리,900280
119,골프존,215000
120,골프존뉴딘홀딩스,121440
121,광림,014200
122,광진실업,026910
123,교보10호스팩,355150
124,교보11호스팩,397880
125,교보9호스팩,331520
126,구영테크,053270
127,국보디자인,066620
128,국순당,043650
129,국영지앤엠,006050
130,국일신동,060480
131,국일제지,078130
132,국전약품,307750
133,그리티,204020
134,그린플러스,186230
135,글로벌에스엠,900070
136,글로벌텍스프리,204620
137,글로본,019660
138,금강철강,053260
139,금화피에스시,036190
140,기가레인,049080
141,기산텔레콤,035460
142,까스텔바작,308100
143,나노,187790
144,나노브릭,286750
145,나노스,151910
146,나노신소재,121600
147,나노씨엠에스,247660
148,나노엔텍,039860
149,나노캠텍,091970
150,나라엠앤디,051490
151,나래나노텍,137080
152,나무가,190510
153,나무기술,242040
154,나스미디어,089600
155,나우IB,293580
156,나이벡,138610
157,나이스디앤비,130580
158,나이스정보통신,036800
159,나인테크,267320
160,남화산업,111710
161,남화토건,091590
162,내츄럴엔도텍,168330
163,네오리진,094860
164,네오셈,253590
165,네오오토,212560
166,네오위즈,095660
167,네오위즈홀딩스,042420
168,네오이뮨텍(Reg.S),950220
169,네오크레마,311390
170,네오티스,085910
171,네오팜,092730
172,네오펙트,290660
173,네온테크,306620
174,네이블,153460
175,네이처셀,007390
176,네패스,033640
177,네패스아크,330860
178,넥스턴바이오,089140
179,넥스트BT,065170
180,넥스트아이,137940
181,넥스틴,348210
182,넥슨지티,041140
183,넵튠,217270
184,넷게임즈,225570
185,노랑풍선,104620
186,노바렉스,194700
187,노바텍,285490
188,노블엠앤비,106520
189,노터스,278650
190,녹십자엠에스,142280
191,녹십자웰빙,234690
192,녹원씨엔아이,065560
193,농우바이오,054050
194,누리플랜,069140
195,누리플렉스,040160
196,뉴로스,126870
197,뉴보텍,060260
198,뉴인텍,012340
199,뉴지랩파마,214870
200,뉴트리,270870
201,뉴파워프라즈마,144960
202,뉴프렉스,085670
203,다나와,119860
204,다날,064260
205,다믈멀티미디어,093640
206,다보링크,340360
207,다산네트웍스,039560
208,다우데이타,032190
209,다원시스,068240
210,대동금속,020400
211,대동기어,008830
212,대동스틸,048470
213,대륙제관,004780
214,대림제지,017650
215,대명소노시즌,007720
216,대모,317850
217,대보마그네틱,290670
218,대봉엘에스,078140
219,대성미생물,036480
220,대성엘텍,025440
221,대성창투,027830
222,대성파인텍,104040
223,대신밸런스제10호스팩,387310
224,대신밸런스제11호스팩,397500
225,대신밸런스제7호스팩,332290
226,대신밸런스제8호스팩,336570
