,회사명,상장번호
0,AJ네트웍스,095570
1,AK홀딩스,006840
2,BGF,027410
3,BGF리테일,282330
4,BNK금융지주,138930
5,BYC,001460
6,BYC우,001465
7,CJ,001040
8,CJ CGV,079160
9,CJ4우(전환),00104K
10,CJ대한통운,000120
11,CJ씨푸드,011150
12,CJ씨푸드1우,011155
13,CJ우,001045
14,CJ제일제당,097950
15,CJ제일제당 우,097955
16,CS홀딩스,000590
17,DB,012030
18,DB금융투자,016610
19,DB손해보험,005830
20,DB하이텍,000990
21,DB하이텍1우,000995
22,DGB금융지주,139130
23,DI동일,001530
24,DL,000210
25,DL건설,001880
26,DL우,000215
27,DL이앤씨,375500
28,DL이앤씨우,37550K
29,DRB동일,004840
30,DSR,155660
31,DSR제강,069730
32,E1,017940
33,ESR켄달스퀘어리츠,365550
34,F&F,383220
35,F&F홀딩스,007700
36,GKL,114090
37,GS,078930
38,GS건설,006360
39,GS글로벌,001250
40,GS리테일,007070
41,GS우,078935
42,HDC,012630
43,HDC랩스,039570
44,HDC현대EP,089470
45,HDC현대산업개발,294870
46,HJ중공업,097230
47,HMM,011200
48,HSD엔진,082740
49,IHQ,003560
50,JB금융지주,175330
51,JW생명과학,234080
52,JW중외제약,001060
53,JW중외제약2우B,001067
54,JW중외제약우,001065
55,JW홀딩스,096760
56,KB금융,105560
57,KCC,002380
58,KCC글라스,344820
59,KCTC,009070
60,KC그린홀딩스,009440
61,KC코트렐,119650
62,KEC,092220
63,KG동부제철,016380
64,KG동부제철우,016385
65,KG케미칼,001390
66,KH 필룩스,033180
67,KISCO홀딩스,001940
68,KPX케미칼,025000
69,KPX홀딩스,092230
70,KR모터스,000040
71,KSS해운,044450
72,KT,030200
73,KT&G,033780
74,KTB투자증권,030210
75,KTcs,058850
76,KTis,058860
77,LF,093050
78,LG,003550
79,LG디스플레이,034220
80,LG생활건강,051900
81,LG생활건강우,051905
82,LG에너지솔루션,373220
83,LG우,003555
84,LG유플러스,032640
85,LG이노텍,011070
86,LG전자,066570
87,LG전자우,066575
88,LG헬로비전,037560
89,LG화학,051910
90,LG화학우,051915
91,LIG넥스원,079550
92,LS,006260
93,LS ELECTRIC,010120
94,LS네트웍스,000680
95,LS전선아시아,229640
96,LX인터내셔널,001120
97,LX하우시스,108670
