,0,1,2,3,4,5,6
0,AJ네트웍스,3905,3485,-420,-10.76,4566482,17060552945
1,AK홀딩스,17400,17800,400,2.3,155652,2782151700
2,BGF,4170,4300,130,3.12,1734533,7571216080
3,BGF리테일,128000,125000,-3000,-2.34,414365,54495268000
4,BNK금융지주,5460,5600,140,2.56,11337546,64524109345
5,BYC,221000,243500,22500,10.18,7732,1808175500
6,BYC우,119000,123000,4000,3.36,1197,146777000
7,CJ,80800,78500,-2300,-2.85,369287,29506163900
8,CJ대한통운,181500,160500,-21000,-11.57,2373420,398791862500
9,CJ씨푸드,4815,4435,-380,-7.89,127937256,714690889265
10,CJ씨푸드1우,45800,42300,-3500,-7.64,34891,1653427250
11,CJ우,47900,47800,-100,-0.21,20936,1003737900
12,CJ제일제당,385500,363000,-22500,-5.84,261978,98941197500
13,CS홀딩스,54300,54900,600,1.1,45235,2545275700
14,DB,696,684,-12,-1.72,2712235,1881689665
15,DB금융투자,3925,3970,45,1.15,1163185,4660338500
16,DB손해보험,45050,46050,1000,2.22,928609,43240559000
17,DB하이텍,35300,31550,-3750,-10.62,3954349,130175705800
18,DB하이텍1우,127000,111500,-15500,-12.2,25467,3102466000
19,DGB금융지주,6250,6580,330,5.28,10421273,69401843790
20,DI동일,85000,84900,-100,-0.12,32340,2767864700
21,DRB동일,6680,6420,-260,-3.89,234694,1562149080
22,DSR,6100,5510,-590,-9.67,1106241,6443040350
23,DSR제강,4640,4400,-240,-5.17,486418,2228319230
24,E1,48200,46550,-1650,-3.42,152821,7358601450
25,GKL,12400,12350,-50,-0.4,2476046,31303230100
26,GS,34200,33600,-600,-1.75,1851557,64166111100
27,GS건설,26450,28000,1550,5.86,5071428,140382908400
28,GS글로벌,1730,1690,-40,-2.31,1099423,1890468245
29,GS리테일,35950,34300,-1650,-4.59,2017231,71990291500
30,GS우,29150,29300,150,0.51,35315,1035123450
31,HDC,10200,10250,50,0.49,1153379,11902973050
32,HDC현대EP,6240,5570,-670,-10.74,2075079,12340656040
33,HDC현대산업개발,20400,19950,-450,-2.21,1908581,38560716250
34,HMM,7000,8860,1860,26.57,63944392,525774323030
35,HSD엔진,4805,4690,-115,-2.39,1672698,8238633855
36,IHQ,1380,1315,-65,-4.71,2094578,2802867405
37,JB금융지주,4810,5010,200,4.16,4184667,20962983245
38,JW생명과학,18600,18100,-500,-2.69,625325,11585984350
39,JW중외제약,32400,30550,-1850,-5.71,819093,26219254050
40,JW중외제약2우B,67100,65300,-1800,-2.68,11429,771888700
41,JW중외제약우,54600,48850,-5750,-10.53,12757,660629000
42,JW홀딩스,5760,5520,-240,-4.17,8351967,50270352490
43,KB금융,40700,41750,1050,2.58,13493067,565019485938
44,KCC,161500,162000,500,0.31,568145,92308439000
45,KCTC,2550,2470,-80,-3.14,619239,1548060540
46,KC그린홀딩스,4250,4170,-80,-1.88,1430367,6081753005
47,KC코트렐,9550,7700,-1850,-19.37,14112283,118491826460
48,KEC,2740,1980,-760,-27.74,323527065,741456931950
49,KG동부제철,8270,8040,-230,-2.78,606574,4906431690
50,KG동부제철우,131000,127500,-3500,-2.67,3653,479464500
51,KG케미칼,18800,18300,-500,-2.66,492438,9207438750
52,KISCO홀딩스,11700,11750,50,0.43,27323,320889500
53,KPX케미칼,49600,48950,-650,-1.31,84604,4165217250
54,KPX홀딩스,49150,46000,-3150,-6.41,860753,41890579800
55,KR모터스,1070,923,-147,-13.74,47222700,48396238775
56,KSS해운,9660,9420,-240,-2.48,369650,3597813550
57,KT,23100,22950,-150,-0.65,4851568,111677896063
58,KTB투자증권,2580,2605,25,0.97,1025840,2722924925
59,KTcs,2040,2035,-5,-0.25,1321136,2697077930
60,KTis,2430,2420,-10,-0.41,848608,2080137120
61,LF,14300,15300,1000,6.99,1910952,29061864200
62,LG,71500,70700,-800,-1.12,1176798,84471664944
63,LG디스플레이,15750,14800,-950,-6.03,11907018,183826588900
64,LG생활건강,1562000,1543000,-19000,-1.22,161632,248154837697
65,LG생활건강우,710000,715000,5000,0.7,119057,77047214000
66,LG우,53000,53500,500,0.94,54715,2921882500
67,LG유플러스,11650,11500,-150,-1.29,7107101,83008147600
68,LG이노텍,164000,155000,-9000,-5.49,701523,111379767500
69,LG전자,89100,89400,300,0.34,2974400,265654006500
70,LG전자우,33300,33100,-200,-0.6,343582,11368140050
71,LG헬로비전,3945,3835,-110,-2.79,853367,3289163275
72,LG화학,615000,632000,17000,2.76,2168777,1368694502000
73,LG화학우,320000,321500,1500,0.47,163925,52880886321
74,LIG넥스원,30400,28900,-1500,-4.93,421269,12445444800
75,LS,55700,55400,-300,-0.54,1254008,70572321900
76,LS네트웍스,2100,2155,55,2.62,238907,510628240
77,LS전선아시아,7360,7260,-100,-1.36,1100086,8290238400
78,MH에탄올,7750,7340,-410,-5.29,602541,4773634680
79,NAVER,286000,283500,-2500,-0.87,4465045,1287392453500
80,NHN,73000,70400,-2600,-3.56,291223,21196849500
81,NH투자증권,9290,9450,160,1.72,11798635,114161878420
82,NH투자증권우,8040,8140,100,1.24,985955,8076353650
83,NH프라임리츠,4275,4510,235,5.5,806490,3569818490
84,NICE,18200,18350,150,0.82,305625,5602114650
85,NI스틸,2270,2220,-50,-2.2,7535045,18102231475
86,NPC,3075,3010,-65,-2.11,335610,1020407255
87,NPC우,2215,2265,50,2.26,28482,64488340
88,OCI,59500,60300,800,1.34,1776451,109371492000
89,POSCO,208500,220000,11500,5.52,3078694,661520009556
90,S-Oil,57900,57000,-900,-1.55,1464879,84415521000
91,S-Oil우,32900,31900,-1000,-3.04,49150,1591232900
92,SBS,15450,16000,550,3.56,437336,6944497100
93,SG세계물산,600,591,-9,-1.5,8068843,4815670091
94,SH에너지화학,800,786,-14,-1.75,3166356,2547465740
95,SIMPAC,2340,2310,-30,-1.28,224937,522776860
96,SJM,2795,3015,220,7.87,893412,2686057690
97,SJM홀딩스,2735,2810,75,2.74,161127,450375890
98,SK,199000,193000,-6000,-3.02,776125,153272738000
99,SKC,72900,71500,-1400,-1.92,1693695,123694268100
100,SK가스,113500,111500,-2000,-1.76,247861,27794402000
101,SK네트웍스,4620,4585,-35,-0.76,2195710,10172399170
102,SK네트웍스우,116000,112500,-3500,-3.02,3494,407373000
103,SK디스커버리,61900,63000,1100,1.78,759331,47062145300
104,SK디스커버리우,52000,52500,500,0.96,402672,21855535000
105,SK디앤디,43400,42500,-900,-2.07,575935,24978292700
106,SK렌터카,8720,8440,-280,-3.21,317660,2732147500
107,SK바이오팜,154500,156500,2000,1.29,1560800,247267344500
108,SK우,197000,194500,-2500,-1.27,24978,4923351500
109,SK이노베이션,136500,131500,-5000,-3.66,1990397,268947915000
110,SK이노베이션우,115000,110500,-4500,-3.91,76119,8455525000
111,SK증권,705,700,-5,-0.71,40486400,29418875240
112,SK증권우,5350,5440,90,1.68,18920763,128089400865
113,SK케미칼,339000,341500,2500,0.74,2092134,676781495500
114,SK케미칼우,171500,178000,6500,3.79,332980,57373052500
115,SK텔레콤,232500,232500,0,0.0,1084843,254848217500
116,SK하이닉스,86700,82600,-4100,-4.73,20680748,1743008586636
117,SPC삼립,62400,69100,6700,10.74,284124,19381954800
118,STX,5500,5480,-20,-0.36,850246,4943432720
119,STX엔진,6310,6200,-110,-1.74,186014,1192392420
120,STX중공업,3995,3650,-345,-8.64,1771796,6923468330
121,TBH글로벌,1905,1805,-100,-5.25,1168918,2183204710
122,TCC스틸,3720,3250,-470,-12.63,7608645,27763924780
123,WISCOM,2275,2310,35,1.54,873829,2128539900
124,가온전선,22300,20850,-1450,-6.5,75688,1626787900
125,강남제비스코,15600,16300,700,4.49,113583,1820876350
126,강원랜드,22400,22550,150,0.67,3178086,72236087350
127,갤럭시아에스엠,1450,1410,-40,-2.76,1337259,1949504575
128,경농,12450,11200,-1250,-10.04,389743,4633945500
129,경동나비엔,54000,52300,-1700,-3.15,199142,10674277200
130,경동도시가스,20400,19000,-1400,-6.86,237055,4662048350
